鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,建物,台中市西區華美街480巷18號9樓之17,0.0,,,,1011127,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980804,46.09,1,1,1,有,無,有,13000,282,,0.0,0,,RPOPMLNKKIHFFAB96CC
豐原區,房地(土地+建物),台中市豐原區向陽路70號四樓,15.85,商,,,1011210,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860602,131.11,4,2,2,有,有,有,11000,84,,0.0,0,,RPSOMLNKKIHFFAL28CC
沙鹿區,房地(土地+建物),台中市沙鹿區正德路321巷33弄11號,82.41,住,,,1011210,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0940801,163.73,4,2,4,有,無,有,15000,92,,0.0,0,,RPQOMLNKKIHFFCL28CC
沙鹿區,房地(土地+建物),台中市沙鹿區中興路272號7樓之9,30.15,住,,,1011211,土地2建物1車位0,七層,9,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010312,140.36,3,2,2,有,有,無,13000,93,,0.0,0,,RPROMLNKKIHFFCL38CC
西屯區,房地(土地+建物)+車位,台中市西屯區文華路98號13樓之5,44.92,住,,,1011201,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940704,215.6,4,2,2,有,無,有,17000,79,坡道平面,0.0,0,,RPTNMLNKKIHFFCB47CC
西屯區,房地(土地+建物)+車位,台中市西屯區惠中一街30號3樓之1,42.0,其他,,,1030101,土地1建物1車位2,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871009,281.53,5,1,2,有,有,無,50000,178,坡道平面,52.92,0,,RPPOMLNKKIHFFCB17CC
西屯區,房地(土地+建物)+車位,台中市西屯區福科路340巷13號1+2樓,16.53,住,,,1011201,土地1建物1車位1,一層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850527,144.46,3,2,2,有,有,無,8000,50,升降機械,5.0,1000,,RPPPMLNKKIHFFCB27CC
西屯區,房地(土地+建物)+車位,台中市西屯區大墩19街48號5樓之1,16.26,住,,,1011215,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,179.76,3,2,2,有,有,有,18000,100,坡道平面,18.14,0,,RPSPMLNKKIHFFCB57CC
西屯區,房地(土地+建物),台中市西屯區大墩19街40號4樓之 3,21.21,住,,,1011215,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,216.45,5,2,2,有,有,有,15000,69,,0.0,0,,RPTPMLNKKIHFFCB67CC
西屯區,房地(土地+建物)+車位,台中市西屯區市政北三路131號7樓之2,15.26,住,,,1011215,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0930705,136.31,3,2,2,有,有,有,30000,220,坡道平面,24.93,0,,RPUPMLNKKIHFFCB77CC
大里區,房地(土地+建物),台中市大里區益民路二段261巷20號,155.0,住,,,1011215,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0770201,156.32,5,2,3,有,無,無,15000,96,,0.0,0,,RPQOMLNKKIHFFGL78DC
