鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３２號,0.0,,,,1130901,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.37,6,0,6,有,有,有,5800,271,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPOUMLQKRHJGFIB86CC,分租套房,有,1130901~1140831,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號５樓之７,0.0,,,,1130901,土地0建物0車位0,五層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,21.7,7,0,7,有,有,有,7200,332,,0.0,0,多人共同承租2；租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPPUMLQKRHJGFIB96CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３０之一號,0.0,,,,1130903,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.37,6,0,6,有,有,有,5800,271,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQUMLQKRHJGFIB07CC,分租套房,有,1130903~1140902,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區中正路５２３號五樓之９,0.0,,,,1130823,土地0建物0車位0,五層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1030317,29.529999999999998,2,0,2,有,有,有,6500,220,,0.0,0,租金總額含網路費；,RPRUMLQKRHJGFIB17CC,分租套房,有,1130823~1140822,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３０號,0.0,,,,1130909,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.69,6,0,6,有,有,有,5800,267,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPSUMLQKRHJGFIB27CC,分租套房,有,1130909~1140908,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號１３樓之６,0.0,,,,1130901,土地0建物0車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,25.9,6,0,6,有,有,有,6400,247,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPTUMLQKRHJGFIB37CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３０號,0.0,,,,1130911,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.69,6,0,6,有,有,有,5800,267,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPUUMLQKRHJGFIB47CC,分租套房,有,1130911~1140910,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區中正路５２３號五樓之９,0.0,,,,1130830,土地0建物0車位0,五層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1030317,56.22,2,0,2,有,有,有,6500,116,,0.0,0,租金總額含網路費；,RPVUMLQKRHJGFIB57CC,分租套房,有,1130830~1140829,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號５樓之６,0.0,,,,1130901,土地0建物0車位0,五層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,25.9,6,0,6,有,有,有,6800,263,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPWUMLQKRHJGFIB67CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３２號,0.0,,,,1130905,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.37,6,0,6,有,有,有,5800,271,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPXUMLQKRHJGFIB77CC,分租套房,有,1130905~1140904,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號３樓之３,0.0,,,,1130901,土地0建物0車位0,三層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造．鋼骨造,0980120,26.5,6,0,6,有,有,有,6200,234,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPOVMLQKRHJGFIB96CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３２之１號,0.0,,,,1130909,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.37,6,0,6,有,有,有,5800,271,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPVMLQKRHJGFIB07CC,分租套房,有,1130909~1140908,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號１１樓之８,0.0,,,,1130901,土地0建物0車位0,十一層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,25.1,7,0,7,有,有,有,6400,255,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPQVMLQKRHJGFIB17CC,分租套房,有,1130901~1140630,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３６號,0.0,,,,1130908,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.37,6,0,6,有,有,有,5800,271,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPRVMLQKRHJGFIB27CC,分租套房,有,1130908~1140907,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３６之１號,0.0,,,,1130910,土地0建物0車位0,全,3,透天厝,店舖、住宅、人行道、樓梯間,鋼筋混凝土造,1050127,21.69,6,0,6,有,有,有,5800,267,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPSVMLQKRHJGFIB37CC,分租套房,有,1130910~1140909,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
太平區,租賃房屋,臺中市太平區永平南路４５號２樓之３１,0.0,,,,1130822,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970707,14.35,1,0,1,有,有,有,4200,293,,0.0,0,,RPPNMLQKRHJGFJB98CC,獨立套房,有,1130905~1140904,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
太平區,租賃房屋,臺中市太平區永平南路４５號２樓之１８,0.0,,,,1130822,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970707,14.35,1,0,1,有,有,有,4200,293,,0.0,0,,RPQNMLQKRHJGFJB09CC,獨立套房,有,1130905~1140904,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
