編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWSMLSJIINFFAF09CA,27,131.62,住家用,鋼筋混凝土造,80年3月7日,七層,七層 陽臺 花台,全筆移轉
RPWSMLSJIINFFAF09CA,27,16.41,共有部分,鋼筋混凝土造,80年3月7日,000,,持分移轉
RPURMLLMIINFFAF38CA,1,118.92,集合住宅,鋼筋混凝土造,106年12月13日,二十七層,十六層 陽臺 雨遮,全筆移轉
RPURMLLMIINFFAF38CA,1,33.05,本共有部分項目有：梯廳、管委會空間、管理員兼副控室、緊急昇降電梯、行動不便者電梯、安全梯、消防排煙進風管道、排煙進風消防管道、特別安全梯、排煙室、電力管道、弱電給水管道、制震壁、雨遮、陽台、機電空間、涼亭、男女烤箱、男女廁、男女淋浴間、男女更衣室、男女蒸氣室、門廳、韻律教室、水箱、中繼機房、管委會、水錶室、日用水箱、機械室、水錶牆、電梯機房、機房、樓梯間等３４項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQRMLPJIINFFEF48CA,,83.08,住家用,鋼筋混凝土造,106年12月29日,二十七層,十三層 陽臺 雨遮,全筆移轉
RPURMLLMIINFFAF38CA,1,52.04,本共有部分項目有：排風機房、緊急昇降電梯、行動不便者電梯、垃圾集中處、梯廳、安全梯、汙水設施、機電空間、蓄水池、汙水設備空間、消防機房（住）、發電機房（住）、機房、電信室（住）、防災中心（住宅區）、台電配電場所（室）、發電機室（住）、機車停車空間、停車空間、防空避難室兼停車空間、雨水機房、雨水池、車道等２３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPURMLLMIINFFAF38CA,1,1.06,本共有部分項目有：管道間、排風機房管道、機房、機房管道、發電機房（住）管道、排風管道、進風管道、走廊、通風管道、安全梯、汙水設備空間、排風機房、管道等１３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQRMLPJIINFFEF48CA,,69.40,本共有部分項目：騎樓、接待大廳、梯廳、管委會使用空間、排煙室、陽台、緩衝空間６＊１２、人行通廊、走道、防災中心、商業管委會使用空間、女廁、男廁、男按摩池、女按摩池、男更衣室、女更衣室、樓梯間、機房、機械室、水箱、中繼消防水箱、泵浦區、中繼消防機房、Ｂ梯廳排煙室、Ｂ棟電錶室、昇降機坑、排風機房、電信室（Ａ）、台電配電室（Ｄ）、受電箱通道、Ｈ梯廳排煙室、Ｈ棟電錶室、停車空間、Ｉ棟電錶室、Ｉ梯廳排煙室、電信室（Ｂ）、儲油室、緊急發電機室（Ｂ）（兼大公變電室）、台電配電室（Ｃ）、Ｆ棟電錶室、Ｆ梯廳排煙室、消防中繼水箱、消防中繼機房（兼揚水泵浦機房）、游泳池專用水箱－１、游泳池專用水箱－２、Ｅ梯廳排煙室、Ｅ棟電錶室、Ａ梯廳排煙室、Ａ棟電錶室、緊急發電機室（Ａ）（兼大公變電室）、垃圾儲藏室、游泳池機房、車道、防空避難室兼停車空間、排風管道、進風管道、Ｃ梯廳排煙室、Ｃ棟電錶室、台電配電室（Ｂ）、Ｄ梯廳排煙室、Ｄ棟電錶室、Ａ棟小公變電室、Ｈ棟小公變電室、Ｉ棟小公變電室、Ｅ棟水箱－１、Ｅ棟小公變電室、Ｄ棟水箱－１、Ｃ棟小公變電室、Ｄ棟小公變電室、Ｂ棟小公變電室、Ｅ棟水箱－２、Ｄ棟水箱－２、Ｆ棟小公變電室、Ａ棟水箱、Ｂ棟水箱、共同泵浦區、Ｈ棟水箱、Ｉ棟水箱、消防泵浦室、雨水過濾機房、Ｆ棟水箱、Ｃ棟水箱、住宅臨停車位１～５４、商業臨停車位１～２０、裝卸車位１～３、＃３、＃６、＃９、＃１２、＃１５、＃１８、＃２１、＃２４緊急昇降機（行動不便者電梯）、安全梯（Ｃ）、安全梯（Ｂ）、垃圾車位、機車停車空間、安全梯（Ａ）、特別安全梯（Ａ）、特別安全梯（Ｂ）、ａ梯、ｂ梯、ｃ梯、台電配電室（Ａ）、＃２５昇降機、＃２６昇降機等１０７項。,鋼筋混凝土造,106年12月29日,二十七層,,持分移轉
RPRNMLLKIINFFAF47CA,1,95.07,集合住宅,鋼筋混凝土造,106年7月14日,十二層,五層 陽臺 雨遮,全筆移轉
RPRNMLLKIINFFAF47CA,1,40.88,本共有部分項目有：梯廳、門廳、無障礙昇降機、管委會空間、私設騎樓、防空避難室兼停車空間、停車空間、車道、機房、水箱、消防機房、發電機房、行動不便者車位、雨遮、台電配電場所、機車停車空間（一）、電信機房、機車停車空間（二）、管委會空間（一）、管委會空間（二）、管委會空間（三）、管委會空間（四）、管委會空間（五）共２３項,鋼筋混凝土造,106年7月14日,十二層,,持分移轉
RPTNMLMKIINFFIF58CA,,91.20,集合住宅,鋼筋混凝土造,107年7月30日,十二層,十層 陽臺 雨遮,全筆移轉
RPTNMLMKIINFFIF58CA,,63.56,本共有部分之項目有：停車空間、防空避難室兼停車空間、台電配電場所、戶外安全梯、發電機房、水箱、消防機房、電信室、受電箱位置、污水機房、電梯機房、公共服務空間（一）、（二）、（三）、（四）、遊戲室（一）、（二）、大廳、汽車車道、１２人份升降機、１２人份緊急升降機（無障礙）、梯廳、會議室、健身房、ＫＴＶ、無障礙廁所、清潔儲藏室、梯間、交誼廳、排煙室、Ｂ梯排煙室、消防水箱、垃圾儲存空間、Ｃ梯（無障礙）、風機地下室排風等３５項。,鋼筋混凝土造,107年7月30日,十二層,,持分移轉
RPOOMLSKIINFFDF28CA,20,67.69,住家用,鋼筋混凝土造,87年1月14日,二十七層,二十五層 陽臺 花台,全筆移轉
RPOOMLSKIINFFDF28CA,20,46.14,共有部分,鋼筋混凝土造,87年1月14日,二十七層,,持分移轉
RPOOMLSKIINFFDF28CA,20,19.83,共有部分,鋼筋混凝土造,87年1月14日,二十七層,,持分移轉
