鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號二樓之３２,0.0,,,,1130226,土地0建物1車位0,二層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3800,163,,0.0,0,管理費:300元,RPPNMLLJLHJGFDQ68CC,獨立套房,有,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之７號一樓之１９,0.0,,,,1121122,土地0建物1車位0,一層,5,其他,集合住宅,鋼筋混凝土造,0940815,21.71,1,1,1,有,有,有,4800,221,,0.0,0,管理費:300元,RPQNMLLJLHJGFDQ78CC,獨立套房,有,1121122~1131121,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號一樓之２,0.0,,,,1121101,土地0建物1車位0,一層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3800,163,,0.0,0,管理費:300元,RPRNMLLJLHJGFDQ88CC,獨立套房,有,1121101~1131031,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號五樓之４１,0.0,,,,1121015,土地0建物1車位0,五層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4000,180,,0.0,0,管理費:300元,RPSNMLLJLHJGFDQ98CC,獨立套房,有,1121015~1131014,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號五樓之３９,0.0,,,,1121015,土地0建物1車位0,五層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4000,180,,0.0,0,管理費:300元,RPTNMLLJLHJGFDQ09CC,獨立套房,有,1121015~1131014,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號四樓之５,0.0,,,,1120925,土地0建物1車位0,四層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,3800,171,,0.0,0,管理費:300元,RPUNMLLJLHJGFDQ56CC,獨立套房,有,1120925~1130924,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
番路鄉,租賃房屋,嘉義縣番路鄉江西村６鄰平?２６號九樓二,0.0,,,,1130207,土地0建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820401,145.14,4,2,2,有,有,有,15000,103,,0.0,0,此為嘉義縣社會住宅包租代管計畫。,RPPNMLLJLHJGFEQ78CC,整棟(戶)出租,有,1130211~1140210,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉北斗村新正五街６１號二樓,0.0,,,,1130207,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0910725,146.02,3,1,2,有,有,有,11280,77,,0.0,0,嘉義縣社會住宅包租代管計畫之物件，管理費720元。租金總額含網路費；未租賃車位，建物登記含有車位面積；,RPPNMLOJLHJGFCQ88CC,整棟(戶)出租,有,1130207~1140206,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號四樓之１３,0.0,,,,1121101,土地0建物1車位0,四層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3800,163,,0.0,0,管理費:300元,RPPNMLOJLHJGFDQ98CC,獨立套房,有,1121101~1131031,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉豐收村７鄰大學路二段３５１２號三樓之二,0.0,,,,1130216,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851203,37.97,1,0,1,有,無,有,4500,119,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPPNMLPJLHJGFCQ98CC,獨立套房,無,1130216~1140215,有,冷氣、電視機、冰箱,社會住宅代管
新港鄉,租賃房屋,嘉義縣新港鄉大潭村大潭５５之２號,0.0,,,,1130219,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1100202,29.54,9,1,10,有,無,無,5400,183,,0.0,0,,RPPNMLQJLHJGFCQ09CC,分租套房,無,1130220~1130419,無,冷氣,一般代管
水上鄉,租賃房屋,嘉義縣水上鄉民生村信義街１８號,0.0,,,,1130226,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690701,95.87,3,1,2,有,無,無,10000,104,,0.0,0,,RPPNMLNKLHJGFDQ98CC,整棟(戶)出租,無,1130302~1140301,無,熱水器,社會住宅代管
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘３９之２１號四樓之１５,0.0,,,,1130219,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940204,23.02,1,0,1,有,有,有,4150,180,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費350元,RPQNMLOKLHJGFDQ56CC,獨立套房,有,1130220~1140219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之７號二樓之８,0.0,,,,1130223,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,3300,149,,0.0,0,此為嘉義縣社會住宅包租代管計畫。管理費300元,RPPNMLKLLHJGFDQ78CC,獨立套房,有,1130225~1140224,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉豐收村大學路二段３５１２號五樓之六,0.0,,,,1130226,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851203,32.48,1,1,1,有,無,有,4100,126,,0.0,0,此為嘉義縣社會住宅包租代管之代管件,RPPNMLLLLHJGFCQ78CC,獨立套房,無,1130226~1140225,有,冷氣、熱水器、電視機,社會住宅代管
竹崎鄉,租賃房屋,嘉義縣竹崎鄉灣橋村４鄰朴子埔９２號,0.0,,,,1130305,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0750313,95.83,3,2,2,有,無,有,10000,104,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLLLLHJGFEQ98CC,整棟(戶)出租,無,1130306~1140305,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中埔鄉,租賃房屋,嘉義縣中埔鄉和興村中華路２７９號,0.0,,,,1130308,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0701117,163.85,3,0,3,有,無,無,10000,61,,0.0,0,,RPPNMLPLLHJGFDQ66CC,整棟(戶)出租,無,1130311~1180310,無,,
中埔鄉,租賃房屋,嘉義縣中埔鄉和興村中華路２８１號,0.0,,,,1130308,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0701117,202.38,3,0,3,有,無,無,10000,49,,0.0,0,,RPRNMLPLLHJGFDQ86CC,整棟(戶)出租,無,1130311~1180310,無,,
朴子市,租賃房屋,嘉義縣朴子市朴子六路３１號五樓２,0.0,,,,1130311,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851123,122.31,3,1,2,有,有,有,10500,86,,0.0,0,此為嘉義市社會住宅包租代管計畫,RPPNMLQLLHJGFBQ56CC,整棟(戶)出租,有,1130314~1140313,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
番路鄉,租賃房屋,嘉義縣番路鄉內甕村３鄰凸湖３之２３號,0.0,,,,1130308,土地0建物1車位0,全,4,透天厝,住宅、停車場,鋼筋混凝土造,0850123,329.02,4,2,3,有,有,有,17500,53,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLQLLHJGFEQ86CC,整棟(戶)出租,無,1130308~1140307,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
朴子市,租賃房屋,嘉義縣朴子市開元路４７４巷２１弄５號,98.0,住,,,1130320,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0701215,115.88,4,2,2,有,無,有,18000,155,,0.0,0,,RPPNMLTLLHJGFBQ86CC,整棟(戶)出租,無,1130401~1140331,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,
布袋鎮,租賃房屋,嘉義縣布袋鎮上海一街１號,0.0,,,,1130314,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820422,242.23,3,1,4,有,無,有,12000,50,,0.0,0,,RPQNMLTLLHJGFBQ96CC,整棟(戶)出租,無,1130315~1140314,無,冷氣、熱水器、冰箱,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉豊收村好收７４之３號,0.0,,,,1130310,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890706,13.97,34,0,34,有,無,有,2500,179,,0.0,0,,RPPNMLLJMHJGFCQ68CC,分租套房,無,1130310~1130909,無,冷氣,一般代管
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３７號二樓之９,0.0,,,,1130315,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,37.72,1,0,1,有,有,有,5300,141,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費200元,RPPNMLMJMHJGFBQ68CC,獨立套房,有,1130315~1140314,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段１８０號,0.0,,,,1130310,土地0建物1車位0,全,4,透天厝,停車空間、店舖、集合住宅,鋼筋混凝土造,0960628,204.0,5,1,6,有,無,有,33000,162,,0.0,0,含家具及生活用品烤箱、微波爐等、開發票5%稅率。,RPPNMLNJMHJGFBQ78CC,整棟(戶)出租,無,1130310~1140309,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
中埔鄉,租賃房屋,嘉義縣中埔鄉和興村３２鄰中正新?１８７號,0.0,,,,1130318,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690318,153.45,3,2,2,有,無,有,13000,85,,0.0,0,此為嘉義縣社會住宅包租代管計畫。,RPPNMLNJMHJGFDQ98CC,整棟(戶)出租,無,1130320~1140319,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９９號１２樓之５,0.0,,,,1130312,土地0建物1車位1,十二層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,165.05,2,2,2,有,有,有,37950,230,坡道平面,29.87,0,含大樓管理費用、車位費用及車位清潔費、開發票5%營業稅。,RPPNMLSJMHJGFDQ86CC,整棟(戶)出租,有,1130401~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９３號５樓之６,0.0,,,,1130320,土地0建物1車位1,五層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,123.8,2,2,1,有,有,有,32800,265,坡道平面,29.87,0,含大樓管理費用、車位費用及車位清潔費、開發票5%營業稅。,RPQNMLSJMHJGFDQ96CC,整棟(戶)出租,有,1130401~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
太保市,租賃房屋+車位,嘉義縣太保市保鐵一路二段９５號２樓之７,0.0,,,,1130315,土地0建物1車位1,二層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060421,133.45,2,2,2,有,有,有,38600,289,坡道平面,29.87,0,含大樓管理費用、車位費用及車位清潔費、開發票5%營業稅,RPRNMLSJMHJGFDQ07CC,整棟(戶)出租,有,1130401~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
朴子市,租賃房屋,嘉義縣朴子市大?榔２１６之１０號,0.0,,,,1130320,土地0建物1車位0,一層,1,倉庫,倉庫,鋼造,0860809,87.67,4,1,3,有,無,有,19000,,,0.0,0,,RPQNMLTJMHJGFBQ86CC,整棟(戶)出租,無,1130401~1140331,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
中埔鄉,租賃房屋,嘉義縣中埔鄉和睦村後庄４之３３號,0.0,,,,1130320,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0990812,156.11,4,2,3,有,無,有,15000,96,,0.0,0,嘉義市政府包租代管計畫,RPPNMLTJMHJGFDQ96CC,整棟(戶)出租,無,1130416~1140415,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
