鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街184-1號旁,130.26,住,,,1130317,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,221.61,2,1,2,有,無,18200000,82126,一樓平面,13.75,0,,RPPNMLKLLHJGFDC27CB,藝墅VILLA(湖海段293地號),F1棟6號,
七堵區,房地(土地+建物),基隆市七堵區東新街4巷66號對面,17.24,住,,,1130306,土地1建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.7,2,2,2,有,無,13210000,142503,,0.0,0,,RPPNMLPLLHJGFDC87DB,金富康-馥御,A3棟10號,
七堵區,房地(土地+建物),基隆市七堵區東新街4巷66號對面,17.36,住,,,1130306,土地1建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.97,2,2,2,有,無,13300000,143057,,0.0,0,,RPPNMLQLLHJGFDC97DB,金富康-馥御,A8棟10號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,15.43,住,,,1130331,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.15,2,2,1,有,無,13580000,142511,坡道平面,38.49,1800000,,RPPNMLLMLHJGFDC57DB,金富康-馥御,A7棟07號,
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷52弄旁,82.45,住,,,1130319,土地5建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,220.06,3,2,3,有,無,18000000,81796,,0.0,0,,RPPNMLSJMHJGFDC97CB,盛森秀美,A棟5號,
中正區,房地(土地+建物)+車位,基隆市中正區和豐街,47.37,住,,,1130325,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,239.46,4,2,2,有,無,18390000,82136,坡道平面,32.0,1350000,,RPPNMLMLMHJGFDC57CB,台北雪梨灣,H棟2-4號,
中正區,房地(土地+建物)+車位,基隆市中正區和豐街,45.53,住,,,1130330,土地1建物1車位2,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,244.15,4,2,2,有,無,17220000,82615,坡道平面,70.21,2850000,,RPRNMLMLMHJGFDC77CB,台北雪梨灣,H棟1-11號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,15.43,住,,,1130406,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.15,2,2,1,有,無,13700000,143963,坡道平面,38.49,1800000,,RPPNMLLJNHJGFDC47DB,金富康-馥御,A7棟10號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,15.43,住,,,1130420,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.15,2,2,1,有,無,13500000,142149,坡道平面,38.49,1750000,,RPQNMLLJNHJGFDC57DB,金富康-馥御,A7棟06號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街186-2號旁,129.43,住,,,1130507,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,218.79,2,1,2,有,無,18500000,84556,一樓平面,13.75,0,,RPPNMLSJNHJGFDC08CB,藝墅 VILLA(湖海段293地號),1棟5號,
