鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,建物,高雄市鼓山區裕誠路1093號12樓F室,0.0,商,,,1020401,土地0建物1車位0,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0790216,86.19,0,0,0,無,有,有,18000,209,,0.0,0,租金含2平面車位,RPRNMLPJMHIFFAE67CC
三民區,房地(土地+建物),高雄市三民區大昌二路522號,165.0,其他,,,1020501,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0780804,53.35,0,0,0,無,無,有,55000,1031,,0.0,0,,RPPNMLPJMHIFFDE77CC
三民區,房地(土地+建物),高雄市三民區建工路432.434號,174.89,其他,,,1020402,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0750714,81.84,0,0,0,無,無,有,110000,1344,,0.0,0,,RPQNMLPJMHIFFDE87CC
三民區,建物,高雄市三民區九如二路150號11樓1,0.0,商,,,1020403,土地0建物1車位0,十一層,18,辦公商業大樓,,鋼筋混凝土造,0781116,347.6,0,0,0,無,無,有,33000,95,,0.0,0,租金含一平面車位,RPRNMLPJMHIFFDE97CC
岡山區,房地(土地+建物),高雄市岡山區大德二路46號,95.0,,,,1020305,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0950111,100.8,2,2,2,有,無,有,13000,129,,0.0,0,,RPPNMLPJMHIFFAS88CC
岡山區,房地(土地+建物),高雄市岡山區柳橋東路17號13樓之2,36.0,,,,1020401,土地1建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,185.0,3,2,2,有,有,有,8500,46,,0.0,0,,RPQNMLPJMHIFFAS98CC
岡山區,房地(土地+建物),高雄市岡山區大全街20巷2號5樓,5.0,,,,1020310,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810227,34.0,1,0,1,有,無,有,4000,118,,0.0,0,,RPSNMLPJMHIFFAS56CC
左營區,房地(土地+建物)+車位,高雄市左營區大中二路250號15樓,15.42,住,,,1020306,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,55.18,3,2,2,有,有,有,15000,272,坡道平面,0.0,0,,RPPNMLQJMHIFFEE97CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路98號3樓,12.55,商,,,1020401,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950126,128.49,3,2,2,有,有,有,19700,153,坡道機械,5.61,0,,RPPNMLQJMHIFFAE57CC
前金區,房地(土地+建物)+車位,高雄市前金區自強一路22號4樓之3,10.79,商,,,1020326,土地1建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840123,155.87,2,2,2,有,有,有,12042,77,升降機械,0.0,0,,RPSNMLQJMHIFFAE87CC
前金區,房地(土地+建物)+車位,高雄市前金區福音街28號4樓之1,5.31,商,,,1020308,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810525,183.48,4,2,2,有,有,有,15442,84,升降機械,0.0,0,,RPTNMLQJMHIFFAE97CC
楠梓區,房地(土地+建物),高雄市楠梓區晉昌街9之5號5樓,27.6,住,,,1020322,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690507,91.11,3,2,2,有,無,無,6000,66,,0.0,0,,RPRNMLRJMHIFFEE28CC
梓官區,房地(土地+建物)+車位,高雄市梓官區海景路61巷5號,75.0,住,特定農業區,甲種建築用地,1020420,土地1建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,0850618,217.0,4,2,2,有,有,有,10000,46,坡道平面,0.0,0,,RPROMLSJMHIFFAS86CC
阿蓮區,房地(土地+建物),高雄市阿蓮區玉庫村10之7號,384.0,,特定農業區,農牧用地,1020415,土地1建物1車位0,一層,1,農舍,農舍,鋼造,,161.85,0,0,0,無,無,無,15000,,,0.0,0,,RPVNMLSJMHIFFES57CC
前金區,建物,高雄市前金區中華三路240號,0.0,商,,,1020405,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0610908,275.64,0,0,0,無,無,有,20000,73,,0.0,0,,RPXNMLSJMHIFFAE58CC
鼓山區,房地(土地+建物),高雄市鼓山區龍德路405號11樓,0.0,其他,,,1020408,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940804,96.44,4,2,2,有,無,無,23500,244,,0.0,0,,RPPQMLTJMHIFFAE18CC
三民區,房地(土地+建物),高雄市三民區文濱路１１號,174.67,住,,,1020318,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0990427,500.64,4,3,7,有,無,無,88000,176,,0.0,0,,RPUOMLTJMHIFFDE78CC
三民區,房地(土地+建物),高雄市三民區嫩江街63號,70.0,住,,,1020415,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0560909,185.13,0,0,0,無,無,無,18000,97,,0.0,0,,RPQPMLTJMHIFFDE48CC
苓雅區,房地(土地+建物),高雄市苓雅區民族二路65之1號,142.0,商,,,1020319,土地1建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,0630814,68.39,0,0,0,無,無,無,30000,439,,0.0,0,,RPPOMLTJMHIFFBE08CC
鳥松區,房地(土地+建物),高雄市鳥松區大埤路10號,141.0,住,,,1020515,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010113,472.74,5,2,6,有,無,無,78000,165,,0.0,0,,RPQNMLTJMHIFFDS07CC
左營區,建物,高雄市左營區新榮街５１巷６號４樓之１,0.0,住,,,1020318,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950306,154.01999999999998,3,2,2,有,無,有,20000,130,坡道平面,28.07,0,,RPTNMLTJMHIFFEE68CC
燕巢區,土地,鳳雄段603-1地號,430.0,農,,,1020318,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,32000,74,,0.0,0,含增建或未登記建物。,RPXNMLKKMHIFFAS66CC
鳥松區,房地(土地+建物),高雄市鳥松區學堂路193、195號,147.75,商,,,1020601,土地1建物2車位0,全,3,透天厝,住商用,鋼筋混凝土造,0771122,322.46,6,2,3,有,無,無,35000,109,,0.0,0,,RPRNMLKKMHIFFDS98CC
仁武區,土地,竹園段1595地號,287.6,農,,,1020314,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,56,,0.0,0,含增建或未登記建物。,RPUOMLKKMHIFFDS76CC
大社區,土地,保甲段625地號,254.02,農,,,1020315,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,59,,0.0,0,含增建或未登記建物。,RPVOMLKKMHIFFDS86CC
仁武區,土地,仁龍段1170地號,165.0,農,,,1020327,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,19000,115,,0.0,0,含增建或未登記建物。,RPWOMLKKMHIFFDS96CC
鳳山區,房地(土地+建物),高雄市鳳山區中山東路290巷10號,84.0,其他,,,1020320,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0630605,108.4,4,2,2,有,無,有,8000,74,,0.0,0,,RPWOMLKKMHIFFBS76CC
鳳山區,房地(土地+建物),高雄市鳳山區南進七街47-3號,888.0,住,,,1020327,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710710,81.7,3,2,1,有,無,有,5000,61,,0.0,0,,RPROMLKKMHIFFBS98DC
新興區,房地(土地+建物),高雄市新興區洛陽街74號,22.63,商,,,1020410,土地1建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0850627,151.64,2,2,2,有,有,無,25000,165,,0.0,0,,RPROMLKKMHIFFBE47CC
三民區,房地(土地+建物),高雄市三民區鼎華路212號21樓,12.46,其他,,,1020420,土地1建物1車位0,二十一層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951207,142.38,3,2,2,有,有,有,13000,91,,0.0,0,,RPQPMLKKMHIFFDE67CC
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢三路1之1號,11.72,住,,,1020401,土地1建物1車位0,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0960103,118.4,0,0,0,無,無,無,38000,321,,0.0,0,,RPWNMLKKMHIFFAE77CC
鼓山區,建物,高雄市鼓山區美術東五路５０號,0.0,住,,,1020326,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940121,340.12,5,2,6,有,無,無,55000,162,,0.0,0,,RPQNMLLKMHIFFAE27CC
