編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOSMLRKOHOFFBB58CA,5,4.25,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，水箱，梯廳，梯間，台電配電室，電信室，發電機室，消防機房，污水機房等９項,鋼筋混凝土造,103年9月15日,十一層,,持分移轉
RPVOMLPJPHOFFCB78CA,7,120.33,住家用,鋼筋混凝土造,101年10月3日,十四層,九層 陽台 雨遮,全筆移轉
RPVOMLPJPHOFFCB78CA,7,124.53,本共有部份之項目有：停車空間、梯廳兼排煙室、安全梯、緊急昇降機、水箱、污水兼消防機房、機械室、電信機房、發電機房、防空避難室兼停車空間、台電配電室、水景機房、公共服務空間、車道、環保室、走廊、機電空間、梯廳、樓梯間、水錶室、電梯機械室等２１項。,鋼筋混凝土造,101年10月3日,十四層,,持分移轉
RPRNMLRKOHOFFEB68CA,,105.08,集合住宅,鋼筋混凝土造,108年4月10日,五層,二層 陽台,全筆移轉
RPRNMLRKOHOFFEB68CA,,50.88,停車空間、門廳、梯廳、樓梯間、昇降機間、電信室、水箱,鋼筋混凝土造,108年4月10日,五層,,持分移轉
RPSNMLMKPHOFFKB09DA,18,134.77,見其他登記事項,鋼筋混凝土造,90年1月3日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPWOMLMKPHOFFBB58CA,26,121.08,集合住宅,鋼筋混凝土造,82年5月3日,十二層,三層 陽台,全筆移轉
RPPPMLOLOHOFFFB58CA,20,93.77,住家用,鋼筋混凝土造,88年9月13日,十四層,六層,全筆移轉
RPPPMLOLOHOFFFB58CA,20,41.20,見其他登記事項,鋼筋混凝土造,88年9月13日,十四層,,持分移轉
RPQNMLPLOHOFFCB28CA,19,122.78,住家用,鋼筋混凝土造,89年3月16日,十四層,六層 陽台 雨遮,全筆移轉
RPQNMLPLOHOFFCB28CA,19,40.86,共有部份,鋼筋混凝土造,89年3月16日,十四層,,持分移轉
RPQNMLPLOHOFFCB28CA,19,8.27,共有部份,鋼筋混凝土造,89年3月16日,十四層,,持分移轉
RPXNMLLKPHOFFDB68CA,38,121.49,住家用,加強磚造,70年5月25日,二層,一層 二層 陽台 電梯樓梯間,全筆移轉
RPVNMLSJPHOFFJB07CA,39,106.08,住家用,鋼筋混凝土造,69年2月28日,二層,一層 二層,全筆移轉
RPSSMLRKOHOFFBB98CA,38,88.88,住家用,鋼筋混凝土造,70年2月23日,五層,四層 陽台,全筆移轉
RPSSMLRKOHOFFBB98CA,38,5.88,共有部份,鋼筋混凝土造,70年2月23日,五層,,持分移轉
RPSOMLTKOHOFFBB78CA,23,25.69,住家用,鋼筋混凝土造,84年11月27日,七層,五層 陽台,全筆移轉
RPSOMLTKOHOFFBB78CA,23,12.67,共有部份,鋼筋混凝土造,84年11月27日,七層,,持分移轉
RPXOMLKLOHOFFIB56CA,24,56.64,集合住宅,鋼筋混凝土造,84年10月27日,十層,五層 陽台,全筆移轉
RPXOMLKLOHOFFIB56CA,24,10.27,共有部份,鋼筋混凝土造,84年10月27日,十層,,持分移轉
RPOOMLLLOHOFFHB28CA,25,34.75,共有部份,鋼筋混凝土造,83年4月12日,八層,,持分移轉
RPOOMLLLOHOFFHB28CA,25,104.48,住家用,鋼筋混凝土造,83年4月12日,八層,六層 陽台 花台,全筆移轉
RPOOMLNJPHOFFCB87CA,23,98.63,住家用,鋼筋混凝土造,85年9月19日,七層,七層 陽台 花台,全筆移轉
RPOOMLNJPHOFFCB87CA,23,50.26,共有部份,鋼筋混凝土造,85年9月19日,九層,,持分移轉
RPSPMLKLOHOFFCB18CA,3,110.40,集合住宅,鋼筋混凝土造,105年8月26日,十五層,三層 陽台 雨遮,全筆移轉
RPSPMLKLOHOFFCB18CA,3,11.17,本共有部份係依使用執照之建築概要表記載項目有：排風管道間、管委會使用空間、門廳、污物處理室、車道、公共服務空間、頂蓋型廣場式開放空間、梯廳、梯間、排煙室、機械室、水箱等十二項。,鋼筋混凝土造,105年8月26日,十五層,,持分移轉
RPSQMLSKOHOFFBB88CA,25,111.46,住家用,鋼筋混凝土造,83年5月20日,十三層,十一層 陽台 花台,全筆移轉
RPSPMLKLOHOFFCB18CA,3,20.18,本共有部分係依使用執照之建築概要表記載項目有：梯廳、梯間、排煙室等三項,鋼筋混凝土造,105年8月26日,十五層,,持分移轉
RPSQMLSKOHOFFBB88CA,25,40.17,共有部份,鋼筋混凝土造,83年5月20日,十三層,,持分移轉
RPSPMLKLOHOFFCB18CA,3,48.60,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防及汙水機房、機械室、雨水機房、水箱、梯廳、排煙室、梯間、防空避難室兼停車空間、台電配電室、電信室、電錶箱室、水景機房、發電機房等十四項。,鋼筋混凝土造,105年8月26日,十五層,,持分移轉
RPUNMLKLOHOFFJB88CA,42,105.57,住家用,加強磚造,66年8月30日,二層,一層 二層,全筆移轉
RPWNMLMLOHOFFCB58CA,22,98.89,集合住宅,鋼筋混凝土造,86年11月21日,二十一層,十二層 陽台 花台,全筆移轉
RPRNMLTJPHOFFJB76CA,3,30.43,公共服務空間、梯廳、管委會使用空間、門廳、污物處理室、泳池機房、梯廳兼排煙室、水錶室、水箱、機械室、梯間,鋼筋混凝土造,105年10月19日,十五層,,持分移轉
RPRPMLMJPHOFFAB97CA,22,21.63,住家用,鋼筋混凝土造,86年4月15日,七層,三層 陽台,全筆移轉
RPRNMLTJPHOFFJB76CA,3,98.31,集合住宅,鋼筋混凝土造,105年10月19日,十五層,十二層 陽台 雨遮,全筆移轉
RPWNMLMLOHOFFCB58CA,22,40.66,共有部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
RPRPMLMJPHOFFAB97CA,22,10.63,共有部份,鋼筋混凝土造,86年4月15日,七層,,持分移轉
