鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
龜山區,房地(土地+建物),龍新街５２號五樓,20.32,住,,,1090708,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980918,86.78,2,2,1,有,有,8100000,93339,,0.0,0,,RPWNMLLKQHPFFHH37EA,56.7,5.2,4.37,有,
桃園區,土地,法政段1034地號,106.4,都市：其他:道路用地,,,1090710,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400000,50752,,0.0,0,,RPRNNLLLPHPFFAH78DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,民族路１９５之２號十二樓,13.58,商,,,1090709,土地2建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080131,123.03999999999999,2,1,1,有,有,9980000,93854,坡道平面,29.49,1200000,,RPPRMLKLPHPFFAH78DA,57.09,0.0,6.23,有,
桃園區,房地(土地+建物)+車位,民族路１９５之２號八樓,13.58,商,,,1090711,土地2建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080131,123.03999999999999,2,1,1,有,有,10500000,99412,坡道平面,29.49,1200000,,RPQRMLKLPHPFFAH88DA,57.09,0.0,6.23,有,
桃園區,房地(土地+建物),和平路１號五樓之１１,5.56,商,,,1090717,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821228,52.89,1,1,1,有,有,1800000,34033,,0.0,0,,RPUNMLKKQHPFFAH88DA,28.71,0.0,5.29,有,
桃園區,房地(土地+建物)+車位,正光路３０８號十七樓,23.94,住,,,1090707,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,171.20999999999998,2,2,2,有,有,17310000,105359,坡道平面,23.05,1700000,,RPTOMLKKQHPFFAH88DA,85.43,7.36,5.6,有,
桃園區,房地(土地+建物)+車位,新埔六街１８５號十七樓,26.07,商,,,1090703,土地1建物1車位3,十七層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1060920,348.76,1,0,3,有,有,35380000,112775,坡道平面,74.94,4500000,,RPPQMLRJQHPFFAH66DA,163.66,0.0,34.03,有,
桃園區,房地(土地+建物)+車位,文中二路１９之１號十二樓,23.88,住,,,1090731,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080520,180.57999999999998,3,2,2,有,有,11800000,72661,坡道平面,44.33,1900000,,RPVNMLRJQHPFFAH96DA,80.32,5.11,7.42,有,
桃園區,房地(土地+建物)+車位,力行路２９７號二樓,20.73,住,,,1090712,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,151.05,3,2,2,有,有,11000000,77476,坡道平面,27.14,1400000,,RPUUMLQJQHPFFAH47DA,73.16,4.37,7.93,有,
桃園區,房地(土地+建物)+車位,民有東路１８之１號十一樓,27.22,住,,,1090707,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930803,176.63,3,2,2,有,有,9850000,55769,坡道平面,25.34,0,,RPSPMLQJQHPFFAH76DA,93.03,1.92,13.48,有,
