鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
永和區,房地(土地+建物)+車位,仁愛路３０６巷６２號九樓,19.94,住,,,1091006,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061113,169.38,3,2,2,有,有,24250000,164823,坡道平面,35.6,2200000,,RPRNMLKMIIPFFHF68EA,84.0,0.0,3.56,有,
蘆洲區,房地(土地+建物),民權路１０７號三樓,19.92,住,,,1091012,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700321,80.0,3,1,1,有,無,7000000,87500,,0.0,0,,RPOQMLTLIIPFFGF76EA,80.0,0.0,0.0,無,
淡水區,房地(土地+建物)+車位,沙崙路一段１２６巷６７號九樓,22.86,住,,,1091015,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,172.16,3,2,2,有,有,13800000,80158,坡道平面,22.84,0,,RPWNMLTLIIPFFEF07EA,86.12,4.03,12.26,有,
五股區,房地(土地+建物)+車位,新五路二段２４７號,23.61,住,,,1091006,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1090120,132.13,0,0,0,無,有,13060000,107843,坡道平面,29.11,1950000,建物型態為店舖,RPTTMLRLIIPFFBF76DA,59.75,0.0,7.48,有,
金山區,房地(土地+建物),中華路１１１號５樓,26.67,住,,,1091007,土地2建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841204,94.73,3,1,2,有,無,2500000,26391,,0.0,0,本案建物為左右二戶打通隔間共3房1廳2衛.親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKMIIPFFDF58DA,80.22,4.02,8.44,無,
三重區,車位,新北大道一段６號等,0.09,住,,,1091015,土地1建物1車位2,,,其他,,,,53.99,0,0,0,有,有,5200000,,坡道平面,54.0,5200000,車位總價中，無法拆分各別車位價格。僅車位交易；,RPRNMLTLIIPFFGF76EA,0.0,0.0,0.0,有,
鶯歌區,土地,昌福段877地號,1.77,住,,,1091019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160380,90610,,0.0,0,,RPUPMLSLIIPFFIF37EA,0.0,0.0,0.0,無,
林口區,房地(土地+建物),文化北路一段５４２巷３７弄２８號五樓,16.48,住,,,1091001,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060328,56.739999999999995,1,1,1,有,有,6300000,111033,,0.0,0,,RPRPMLTLIIPFFBF98DA,31.69,3.06,3.55,有,
三芝區,土地,福海段184地號,2932.41,,一般農業區,農牧用地,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38710739,13201,,0.0,0,未登記建物；,RPTNMLTLIIPFFEF76EA,0.0,0.0,0.0,無,
樹林區,房地(土地+建物)+車位,學勤路５３４號三樓,30.13,住,,,1091018,土地1建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,235.20000000000002,4,2,2,有,有,19900000,84609,坡道平面,34.1,0,,RPTWMLSLIIPFFIF87DA,136.67,1.36,13.83,有,
