鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區民安路330巷6號1樓,15.02,住,,,1020616,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841027,72.04,2,1,1,有,無,無,12000,167,,0.0,0,,RPSNNLTJPHIFFBF78CC
新莊區,建物,新北市新莊區立信三街35巷12號9樓,9.92,住,,,1020618,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940324,102.59,2,1,1,有,有,有,17000,166,,0.0,0,,RPTNNLTJPHIFFBF88CC
土城區,建物,新北市土城區延吉街２７８號,0.0,住,,,1020622,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0721209,80.85,0,1,1,有,無,無,42000,519,,0.0,0,,RPURMLTJPHIFFAF56CC
板橋區,建物,新北市板橋區金門街６７巷３６號１２樓,0.0,住,,,1020629,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020206,96.6,2,1,1,有,有,無,14000,145,坡道平面,14.15,0,,RPVRMLTJPHIFFAF66CC
汐止區,建物,新北市汐止區新台五路1段77號6樓之7,11.99,工,,,1020610,土地0建物1車位0,六層,21,廠辦,工商用,鋼造,0830330,173.75,0,0,0,有,有,無,31536,182,,0.0,0,,RPOOMLTJPHIFFDF58CC
汐止區,建物,新北市汐止區新台五路1段79號15樓之13,50.18,工,,,1020610,土地0建物1車位0,十三層,20,廠辦,工商用,鋼造,0830330,709.78,0,0,0,有,無,無,133000,187,,0.0,0,,RPPOMLTJPHIFFDF68CC
汐止區,建物,新北市汐止區新台五路1段75號17樓之5,17.45,工,,,1020610,土地0建物1車位0,十七層,21,廠辦,工商用,鋼造,0830330,289.13,0,0,0,有,有,無,55119,191,,0.0,0,,RPQOMLTJPHIFFDF78CC
汐止區,建物,新北市汐止區新台五路1段100號3樓,28.69,工,,,1020610,土地0建物1車位0,三層,26,廠辦,工業用,鋼造,0831222,66.12,0,0,0,有,無,無,15000,227,,0.0,0,,RPSOMLTJPHIFFDF98CC
汐止區,建物,新北市汐止區新台五路一段75號8樓之4,27.48,工,,,1020613,土地0建物1車位0,八層,21,廠辦,工商用,鋼造,0830330,432.57,0,0,0,有,有,無,81127,188,,0.0,0,,RPUQMLTJPHIFFDF76CC
汐止區,建物,新北市汐止區大同路三段198號3樓,26.84,工,,,1020613,土地0建物1車位0,三層,10,廠辦,工業用,鋼筋混凝土造,0810629,237.58,0,0,0,有,有,無,33000,139,,0.0,0,,RPVQMLTJPHIFFDF86CC
