鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龜山區,房地(土地+建物),桃園縣龜山鄉復興二路78巷66號9F-1,12.12,住,,,1020707,土地1建物1車位0,九層,10,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890830,64.03,2,1,1,有,無,有,11000,172,,0.0,0,,RPTNMLKLPHIFFAH18CC
桃園區,房地(土地+建物)+車位,桃園縣桃園市文中路47巷29號12樓,14.73,住,,,1020625,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921031,152.54000000000002,3,2,2,有,有,有,18000,118,坡道平面,0.0,0,含管理費、稅金或水電等費用。,RPPNMLLLPHIFFAH87CC
桃園區,房地(土地+建物),桃園縣桃園市大興西路二段35號7樓之5,7.41,住,,,1020629,土地1建物1車位0,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840225,77.43,2,2,1,有,有,有,10000,129,,0.0,0,,RPQNMLLLPHIFFAH97CC
桃園區,房地(土地+建物),桃園縣桃園市介壽路5之10號12樓,8.46,住,,,1020625,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920728,61.82000000000001,2,1,1,有,有,有,11000,178,,0.0,0,,RPTUMLMLPHIFFAH09CC
中壢區,建物,桃園縣中壢市中央西路二段150巷4號,65.0,住,,,1020710,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0590920,52.45,0,0,0,無,無,無,14000,267,,0.0,0,,RPWOMLMLPHIFFBH88CC
中壢區,房地(土地+建物),桃園縣中壢市莊敬路129號,17.82,商,,,1020901,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870513,153.06,0,0,1,有,有,無,25000,163,,0.0,0,,RPPQMLMLPHIFFBH38CC
中壢區,房地(土地+建物),桃園縣中壢市普騰街42號6樓,21.94,住,,,1020705,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830205,112.84,3,2,2,有,有,有,9500,84,,0.0,0,,RPQQMLMLPHIFFBH48CC
平鎮區,土地,平東段455地號,32.03,住,,,1020627,土地1建物0車位0,全,,透天厝,,,,0.0,1,1,1,有,無,有,5000,156,,0.0,0,,RPSPMLMLPHIFFGH09CC
中壢區,房地(土地+建物)+車位,桃園縣中壢市內江街35號9樓,7.51,住,,,1020625,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011005,48.56,3,2,2,有,有,無,16000,329,坡道平面,0.0,0,,RPSRMLMLPHIFFBH88DC
蘆竹區,房地(土地+建物)+車位,桃園縣蘆竹鄉南昌路153號四樓,16.75,住,,,1020720,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890201,94.71000000000001,3,2,2,有,有,有,18000,190,坡道平面,30.72,0,租金18000元含車位、含管理費1933元,RPQOMLMLPHIFFEH68DC
蘆竹區,房地(土地+建物),桃園縣蘆竹鄉六福路251號十樓之1,1712.92,住,,,1020801,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,79.69,3,2,2,有,有,有,10000,125,,0.0,0,,RPWPMLMLPHIFFEH76DC
中壢區,房地(土地+建物),桃園縣中壢市龍東路264巷25弄36號5樓,25.6,住,,,1020720,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801219,77.84,3,2,2,有,無,有,7000,90,,0.0,0,,RPOSMLNLPHIFFBH78EC
楊梅區,建物,桃園縣楊梅鎮青山二街397號4樓,24.3,,,,1020701,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830912,155.39,3,2,2,有,有,無,7000,45,,0.0,0,,RPVPMLNLPHIFFDH56CC
楊梅區,建物,桃園縣楊梅鎮青山二街397號4樓,24.3,,,,1020701,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830912,155.39,3,2,2,有,有,無,7000,45,,0.0,0,,RPWPMLNLPHIFFDH66CC
蘆竹區,建物,桃園縣蘆竹鄉南崁路一段99號10樓之6,0.0,工,,,1020715,土地0建物1車位0,十層,14,廠辦,工業用,鋼筋混凝土造,0820824,157.09,0,0,0,無,有,無,21100,134,,0.0,0,,RPUNMLNLPHIFFEH98CC
中壢區,建物,桃園縣中壢市中光路39號,151.0,住,,,1020722,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,,140.49,0,0,0,無,無,無,40000,285,,0.0,0,,RPVSMLNLPHIFFBH66CC
中壢區,房地(土地+建物),桃園縣中壢市仁福三街74號9樓,10.43,住,,,1020723,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830524,89.39,3,2,2,有,有,有,11500,129,,0.0,0,,RPUVMLNLPHIFFBH86CC
龜山區,房地(土地+建物),桃園縣龜山鄉樂善村樟腦寮6之8號,69.98,住,,,1020721,土地2建物1車位0,一層,5,其他,住家用,鋼筋混凝土造,0900731,194.69,3,3,3,有,無,有,10000,51,,0.0,0,,RPVNMLNLPHIFFAH68CC
中壢區,建物,桃園縣中壢市延平路５５２號地下１樓及地下１樓之１,0.0,商,,,1020714,土地0建物2車位0,地下一層,12,辦公商業大樓,商業用,鋼筋混凝土造,0851128,435.95,1,1,1,有,有,無,50000,115,,0.0,0,,RPURMLOLPHIFFBH56CC
蘆竹區,房地(土地+建物)+車位,桃園縣蘆竹鄉中山北街69號1樓,20.32,其他,,,1020810,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980630,135.4,6,2,3,有,有,無,23000,170,坡道平面,26.27,0,,RPOQMLOLPHIFFEH78CC
