鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,建物,台南市東區中華東路三段１８號跟２０號,0.0,商,,,1020419,土地0建物0車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0701222,165.14,0,2,1,有,無,無,100000,606,,0.0,0,18號跟20號兩間打通,RPOOMLRJNHIFFCD87CC
東區,建物,台南市東區崇明路５２０號,0.0,住,,,1020422,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土構造,0700306,255.33,4,1,4,有,無,無,45000,176,,0.0,0,,RPPOMLRJNHIFFCD97CC
善化區,土地,胡厝寮段917-21地號,45.0,農,特定農業區,農牧用地,1020421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,12000,267,,0.0,0,含增建或未登記建物。,RPSNMLSJNHIFFER27CC
善化區,房地(土地+建物),台南市善化區小新營里343號4樓,96.0,其他,,,1020509,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1000328,210.56,1,0,1,有,無,有,4500,21,,0.0,0,,RPXNMLSJNHIFFER77CC
善化區,房地(土地+建物),台南市善化區小新營里343號2樓,96.0,其他,,,1020509,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1000328,210.56,1,0,1,有,無,有,4500,21,,0.0,0,,RPOOMLSJNHIFFER96CC
善化區,房地(土地+建物),台南市善化區小新營里343號4樓,96.0,其他,,,1020509,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1000328,210.56,1,0,1,有,無,有,4000,19,,0.0,0,,RPPOMLSJNHIFFER07CC
善化區,房地(土地+建物),台南市善化區小新里343號4樓,96.0,其他,,,1020506,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1000328,210.56,6,1,6,有,無,有,4000,19,,0.0,0,,RPPNMLTJNHIFFER07CC
南區,房地(土地+建物),台南市南區大同路二段640巷32號,0.0,住,,,1020507,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0731113,73.46,3,2,2,有,無,有,10000,136,,0.0,0,,RPQNMLTJNHIFFCD18CC
東區,房地(土地+建物),台南市東區中華東路2段41巷58號3樓,0.0,住,,,1020502,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0681214,68.39,3,2,1,有,無,無,7000,102,,0.0,0,租賃契約書無填寫土地租賃,RPSNMLTJNHIFFCD38CC
中西區,房地(土地+建物),台南市中西區民族路二段76-13號,30.82,商,,,1020425,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0820511,278.89,4,1,2,有,無,無,30000,108,,0.0,0,承租層次2F+3F不包含1F,RPWNMLTJNHIFFAD58CC
