鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大肚區,房地(土地+建物),臺中市大肚區自由路３１１號,28.72,都市：其他:住宅區,,,1101213,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0700312,103.36,0,0,1,有,無,4600000,44505,,0.0,0,,RPUNMLNJJHHGFKB08DA,103.36,0.0,0.0,無,
南區,房地(土地+建物)+車位,臺中市南區復興路二段７７號十三樓之３,22.03,商,,,1101206,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091006,159.42000000000002,3,2,2,有,有,12200000,76527,坡道平面,27.15,0,,RPPQMLTLKIGGFAB77DA,79.11,0.79,10.1,有,00972
西屯區,土地,協安段301-6地號,17.89,都市：其他:道路用地,,,1101202,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,386470,21603,,0.0,0,包含公共設施保留地用地；協議價購；,RPOPMLMKKIGGFCB96DA,0.0,0.0,0.0,無,00965
石岡區,土地,崁子下段1206地號,589.99,,特定農業區,農牧用地,1101223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2141520,3630,,0.0,0,,RPTNMLPJJHHGFGB77DA,0.0,0.0,0.0,無,
烏日區,房地(土地+建物)+車位,臺中市烏日區信義街２６號七樓,11.97,住,,,1101218,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,108.67,3,2,2,有,有,6000000,55213,坡道機械,0.0,0,,RPTSMLOJJHHGFIB38DA,74.6,0.0,11.54,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區大連路二段２２７號,34.06,住,,,1101210,土地1建物1車位1,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),商辦用,鋼筋混凝土造,0950413,256.19,1,2,2,有,有,31600000,123346,坡道平面,19.89,0,土地價款為2226萬元整，建物價款為934萬元整含傢俱設備費；,RPXNMLOJJHHGFBB57DA,175.83,0.0,12.18,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段２８８號五樓之３,10.25,住,,,1101222,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,120.57,2,2,2,有,有,10700000,88745,坡道平面,27.23,0,含傢俱設備費；,RPQNMLNJJHHGFBB76DA,55.37,1.99,5.57,有,00974
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路五段５１號六樓之１０,28.91,住,,,1101204,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050826,184.20999999999998,2,2,2,有,有,17000000,102338,坡道平面,29.82,1200000,其他增建；,RPPNMLOJKIGGFCB96DA,90.95,3.15,10.5,有,
大里區,房地(土地+建物),臺中市大里區仁化路８６３號,89.8,住,,,1101207,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0760927,191.83,7,4,7,有,無,18000000,93833,,0.0,0,頂樓加蓋；其他增建；,RPTPMLTJKIGGFIB68DA,169.87,17.2,4.76,無,
大里區,房地(土地+建物)+車位,臺中市大里區新仁路一段７１巷９號九樓之９,23.91,,鄉村區,乙種建築用地,1101206,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060918,109.88999999999999,2,2,1,有,有,7000000,63700,坡道機械,18.7,0,,RPPNMLMJJHHGFIB27DA,55.44,4.18,4.95,有,00975
