鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
左營區,房地(土地+建物)+車位,高雄市左營區啟文路１３３號十二樓之１,31.74,住,,,1130628,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110302,225.5,3,2,2,有,有,26010000,118604,坡道平面,44.14,4500000,,RPWNMLNLPHJGFEE98DA,89.46,11.11,16.57,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區朝明路１１６巷８６號三樓,9.86,住,,,1130616,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1060123,99.44,2,1,1,有,有,8800000,88496,坡道機械,29.28,0,,RPUNMLKMPHJGFEE58DA,41.04,2.55,3.39,有,02081
左營區,房地(土地+建物),高雄市左營區蓮潭路１５１巷３號,25.81,住,,,1130630,土地2建物1車位0,一層，騎樓，夾層，地下層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740323,103.94999999999999,3,2,1,有,無,5940000,57143,,0.0,0,本物件與蓮潭路151巷4號打通，共用樓梯。陽台外推；,RPUQMLKMPHJGFEE88DA,92.34,3.59,3.59,無,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高楠公路１７０７號八樓,14.52,住,,,1130622,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,120.99000000000001,3,2,2,有,有,11290000,100216,坡道機械,19.31,1100000,,RPORMLMJQHJGFEE38DA,59.4,0.0,6.11,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高楠公路１７０７號十三樓,14.52,住,,,1130615,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,141.36,3,2,2,有,有,12690000,107090,坡道平面,39.67,1800000,,RPSRMLMJQHJGFEE78DA,59.4,0.0,6.11,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高楠公路１７０１號十四樓,14.51,住,,,1130624,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,144.53,3,2,2,有,有,13280000,112052,坡道平面,42.97,1900000,,RPVRMLMJQHJGFEE09DA,59.33,0.0,6.11,有,
左營區,房地(土地+建物)+車位,高雄市左營區啟文路１２９號八樓之２,24.77,住,,,1130623,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110302,164.69,3,2,2,有,有,17700000,107979,坡道平面,22.07,2300000,,RPRRMLQJQHJGFEE09DA,74.89,6.12,10.28,有,
楠梓區,房地(土地+建物),高雄市楠梓區高楠公路１７０３號四樓,11.27,住,,,1130622,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,78.91,2,2,2,有,有,7920000,100368,,0.0,0,,RPOQMLSJQHJGFEE88DA,43.84,0.0,7.01,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學五十街５６號七樓,18.93,住,,,1130618,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1051115,112.72,2,2,2,有,有,11000000,97587,坡道機械,15.18,0,,RPQNMLTJQHJGFEE88DA,53.72,4.19,6.56,有,02082
楠梓區,房地(土地+建物),高雄市楠梓區高楠公路１７０３號十樓,11.27,住,,,1130618,土地2建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,78.91,2,2,2,有,有,8570000,108605,,0.0,0,,RPSNMLTJQHJGFEE09DA,43.84,0.0,7.01,有,
